seq,keys,vals,grp
365,O,ps4,66
366,Category,games,66
367,ModelName,ipad,66
368,ModelName,macbook,66
369,ModelName,pro,66
370,ModelName,playstation,66
371,ModelName,ps4,66
372,Category,console,66
373,Category,printers,66
374,O,all,66
375,O,one,66
376,O,wireless,66
377,ModelName,ps4,66
378,ModelName,pro,66
379,ModelName,ipad,66
380,ModelName,pro,66
381,ScreenSize,10.5,66
382,ScreenSize,inch,66
383,O,qled,66
384,O,4k,66
385,Category,tv,66
386,O,qi,66
387,Category,wireless,66
388,Category,charging,66
389,O,qled,66
390,Brand,samsung,67
391,Category,smart,67
392,Category,tv,67
393,O,qi,67
394,Category,wireless,67
395,Category,charger,67
396,Brand,quicken,68
397,O,2018,68
398,Brand,quickbooks,69
399,ModelName,pro,69
400,ModelName,2018,69
401,Category,refrigerator,69
402,Brand,ring,70
403,O,video,70
404,Category,doorbell,70
405,Category,roku,70
406,Category,remote,70
407,Category,car,70
408,Category,starter,70
409,Category,router,70
410,Category,receiver,70
411,Brand,roku,71
412,Category,streaming,71
413,Category,stick,71
414,Category,refrigerators,71
415,O,with,71
416,O,french,71
417,O,doors,71
418,Brand,roku,72
419,Category,tv,72
420,Category,laptop,72
421,Brand,samsung,73
422,ModelName,galaxy,73
423,ModelName,s8,73
424,Category,soundbar,73
425,Brand,samsung,74
426,ModelName,galaxy,74
427,ModelName,s8,74
428,O,unlocked,74
429,Brand,samsung,75
430,ModelName,gear,75
431,ModelName,s3,75
432,Category,smartwatch,75
433,Brand,samsung,76
434,Category,tv,76
435,Brand,apple,77
436,Category,watch,77
437,ModelName,series,77
438,ModelName,3,77
439,Brand,apple,78
440,Category,watch,78
441,ModelName,series,78
442,ModelName,2,78
443,Brand,samsung,79
444,ModelName,galaxy,79
445,ModelName,s7,79
446,ModelName,edge,79
447,O,unlocked,79
448,Category,television,79
449,Category,tablets,79
450,Brand,xbox,80
451,ModelName,one,80
452,ModelName,x,80
453,ModelName,iphone,80
454,ModelName,x,80
455,Category,tv,80
456,Category,stands,80
457,Category,tv,80
458,Category,wall,80
459,Category,mount,80
460,Brand,apple,81
461,Category,watch,81
462,ModelName,series,81
463,ModelName,3,81
464,Category,laptop,81
465,Brand,apple,82
466,Category,watch,82
467,ModelName,series,82
468,ModelName,2,82
469,Category,tablets,82
470,O,under,82
471,Price,$100,82
472,O,unlocked,82
473,Category,cell,82
474,Category,phones,82
475,Category,usb,82
476,Category,flash,82
477,Category,drive,82
478,ModelName,uncharted,82
479,ModelName,lost,82
480,ModelName,legacy,82
481,Category,laptops,82
482,O,under,82
483,Price,$300,82
484,ModelName,wii,82
485,ModelName,u,82
486,Category,console,82
487,Brand,upright,83
488,Category,freezer,83
489,O,usb-c,83
490,O,to,83
491,Category,usb,83
492,Category,adapter,83
493,Category,universal,83
494,Category,remote,83
495,Category,vacuum,83
496,Brand,vizio,84
497,O,4k,84
498,Category,tv,84
499,Category,vacuum,84
500,Category,cleaners,84
501,Brand,vizio,85
502,Category,graphics,85
503,Category,card,85
504,Brand,verizon,86
505,Category,cell,86
506,Category,phones,86
507,Category,video,86
508,Category,camera,86
509,Brand,vizio,87
510,Category,soundbar,87
511,Brand,ring,88
512,Category,video,88
513,Category,doorbell,88
514,ModelName,ipad,88
515,ModelName,pro,88
516,ScreenSize,10.5,88
517,ScreenSize,inch,88
518,O,wireless,88
519,Category,headphones,88
520,O,wireless,88
521,Category,earbuds,88
522,Brand,apple,89
523,Category,watch,89
524,Brand,apple,90
525,Category,watch,90
526,ModelName,series,90
527,ModelName,3,90
528,Brand,apple,91
529,Category,watch,91
530,ModelName,series,91
531,ModelName,2,91
532,Category,washer,91
533,Category,dryer,91
534,O,combo,91
535,Category,wifi,91
536,Category,extender,91
537,Category,washer,91
538,Category,and,91
539,Category,dryer,91
540,Brand,beats,92
541,ModelName,solo3,92
542,O,wireless,92
543,ModelName,xbox,92
544,ModelName,one,92
545,ModelName,x,92
546,ModelName,xbox,92
547,ModelName,one,92
548,ModelName,iphone,92
549,O,x,92
550,Brand,xbox,93
551,ModelName,xbox,93
552,ModelName,one,93
553,O,controller,93
554,ModelName,xbox,93
555,ModelName,x,93
556,ModelName,xbox,93
557,ModelName,one,93
558,ModelName,x,93
559,O,scorpio,93
560,O,iphone,93
561,O,x,93
562,Category,case,93
563,ModelName,xbox,93
564,ModelName,one,93
565,O,games,93
566,ModelName,xbox,93
567,ModelName,one,93
568,ModelName,x,93
569,Category,console,93
570,Brand,yamaha,94
571,Category,receiver,94
572,ModelName,yoga,94
573,ModelName,920,94
574,ModelName,yoga,94
575,ModelName,720,94
576,Brand,yamaha,95
577,Category,soundbar,95
578,O,your,95
579,O,name,95
580,Category,blu-ray,95
581,ModelName,yoga,95
582,ModelName,910,95
583,ModelName,yeti,95
584,Category,microphone,95
585,Brand,yamaha,96
586,ModelName,yas,96
587,ModelName,207,96
588,Category,soundbar,96
589,ModelName,yoga,96
590,ModelName,710,96
591,Brand,zagg,97
592,ModelName,invisibleshield,97
593,O,glass,97
594,Brand,zagg,98
595,O,iphone,98
596,O,x,98
597,ModelName,horizon,98
598,ModelName,zero,98
599,ModelName,dawn,98
600,ModelName,zelda,98
601,O,nintendo,98
602,O,switch,98
603,Brand,moto,99
604,ModelName,z2,99
605,ModelName,force,99
606,Brand,zte,100
607,ModelName,blade,100
608,ModelName,spark,100
609,Brand,zte,101
610,ModelName,maven,101
611,ModelName,3,101
612,Brand,zte,102
613,ModelName,axon,102
614,ModelName,7,102
615,O,unlocked,102
616,Category,aa,102
617,Category,battery,102
618,Category,aaa,102
619,Category,battery,102
620,Category,aaaa,102
621,Category,battery,102
622,O,aa,102
623,Category,battery,102
624,Category,charger,102
625,Category,aaa,102
626,Category,rechargeable,102
627,Category,battery,102
628,O,aa,102
629,O,lithium,102
630,Category,rechargeable,102
631,Category,battery,102
632,Brand,aaxa,103
633,Category,projector,103
634,O,rechargeable,103
635,Category,aa,103
636,Category,battery,103
637,Category,ab,103
638,Category,switch,103
639,Brand,ableton,104
640,O,live,104
641,O,9,104
642,Brand,dyson,105
643,ModelName,v8,105
644,ModelName,absolute,105
645,Brand,ableton,106
646,ModelName,above,106
647,ModelName,the,106
648,ModelName,rim,106
649,ModelName,about,106
650,ModelName,time,106
651,O,blu-ray,106
652,Brand,acer,107
653,Category,chromebook,107
654,Brand,acer,108
655,Category,laptop,108
656,Category,ac,108
657,Category,adapter,108
658,Brand,acer,109
659,ModelName,aspire,109
660,ModelName,e15,109
661,O,action,109
662,Category,camera,109
663,Brand,acer,110
664,Category,monitor,110
665,Brand,acer,111
666,ModelName,predator,111
667,Category,laptop,111
668,Category,activity,111
669,Category,tracker,111
670,Brand,acer,112
671,Category,chromebook,112
672,ScreenSize,15,112
673,Category,accessories,112
674,O,for,112
675,ModelName,iphone,112
676,ModelName,7,112
677,Category,best,112
678,Category,buy,112
679,Brand,black,113
680,Brand,friday,114
681,Brand,ad,115
682,Category,adapter,115
683,Brand,adobe,116
684,ModelName,photoshop,116
685,Category,adapters,116
686,O,for,116
687,O,iphone,116
688,O,7,116
689,Category,adapter,116
690,O,for,116
691,O,macbook,116
692,O,pro,116
693,Brand,adobe,117
694,Brand,premiere,118
695,Category,adapters,118
696,O,and,118
697,Category,converters,118
698,Brand,adobe,119
699,ModelName,photoshop,119
700,ModelName,elements,119
701,ModelName,2018,119
702,Brand,aerosmith,120
703,ModelName,aegis,120
704,ModelName,3,120
705,Brand,aeon,121
706,Category,wall,121
707,Category,mount,121
708,Brand,aerosmith,122
709,Category,cd,122
710,Brand,aeroccino,123
711,Category,milk,123
712,Category,frother,123
713,Brand,aerosmith,124
714,O,vinyl,124
715,Brand,aeon,125
716,Category,projector,125
717,O,screen,125
718,ModelName,aesthetica,125
719,ModelName,of,125
720,ModelName,a,125
721,ModelName,rogue,125
722,ModelName,hero,125
723,ModelName,aeon,125
724,ModelName,flux,125
725,Brand,aftershokz,126
726,Category,headphones,126
727,Brand,aftershokz,127
728,ModelName,trekz,127
729,ModelName,titanium,127
730,Brand,afterglow,128
731,Category,headset,128
732,O,for,128
733,O,xbox,128
734,O,one,128
735,Brand,afterglow,129
736,Category,headset,129
737,Brand,after,130
738,Brand,shokz,131
739,Brand,afterglow,132
740,ModelName,ag,132
741,ModelName,9,132
742,Brand,aftershokz,133
743,O,afterglow,133
744,ModelName,xbox,133
745,ModelName,one,133
746,Category,controller,133
747,ModelName,af-p,133
748,ModelName,dx,133
749,Brand,nikkor,134
750,O,10-20mm,134
751,Brand,afterglow,135
752,Category,headset,135
753,ModelName,ps4,135
754,Brand,ag,136
755,O,9,136
756,O,wireless,136
757,Category,headset,136
758,ModelName,agents,136
759,ModelName,of,136
760,ModelName,mayhem,136
761,Brand,agitator,137
762,Category,washing,137
763,Category,machine,137
764,O,ag,137
765,O,9,137
766,ModelName,xbox,137
767,ModelName,one,137
768,Category,headset,137
769,O,wireless,137
770,ModelName,age,137
771,ModelName,of,137
772,ModelName,ultron,137
773,ModelName,age,137
774,ModelName,of,137
775,ModelName,empires,137
776,ModelName,age,137
777,ModelName,of,137
778,ModelName,adaline,137
779,ModelName,ahs,137
780,ModelName,roanoke,137
781,Brand,whirlpool,138
782,ModelName,wod93ec0ah,138
783,Brand,whirlpool,139
784,ModelName,wos92ec0ah,139
785,Brand,asus,140
786,ModelName,vx24ah,140
787,ModelName,ahbbp-401,140
788,ModelName,airpods,140
789,O,wireless,140
790,Category,air,140
791,Category,fryer,140
792,Category,airpods,140
793,Category,air,140
794,Category,purifier,140
795,ModelName,amiibo,140
796,Category,air,140
797,Category,pods,140
798,Category,air,140
799,Category,conditioners,140
800,ModelName,macbook,140
801,ModelName,air,140
802,ModelName,airport,140
803,ModelName,extreme,140
804,Category,airpods,140
805,Category,accessories,140
806,Brand,akg,141
807,Category,headphones,141
808,Brand,akai,142
809,Brand,akracing,143
810,Brand,akira,144
811,Category,blu-ray,144
812,Brand,akg,145
813,ModelName,n60,145
814,ModelName,nc,145
815,Brand,akg,146
816,O,wireless,146
817,ModelName,akiba's,146
818,ModelName,beat,146
819,Brand,akracing,147
820,Category,chair,147
821,ModelName,akame,147
822,ModelName,ga,147
823,ModelName,kill,147
824,Brand,akira,148
825,Category,all-in-one,148
826,Category,computers,148
827,ModelName,alienware,148
828,Category,laptop,148
829,ModelName,alexa,148
830,ModelName,echo,148
831,ModelName,alienware,148
832,Category,desktop,148
833,ModelName,alexa,148
834,ModelName,alienware,148
835,Category,alarm,148
836,Category,clock,148
837,Category,all-in-one,148
838,Category,printer,148
839,Category,all-in-one,148
840,Category,desktop,148
841,Brand,altec,149
842,Brand,lansing,150
843,Category,speakers,150
844,ModelName,amiibo,150
845,Brand,amazon,151
846,O,fire,151
847,O,stick,151
848,Brand,amazon,152
849,ModelName,echo,152
850,Brand,amazon,153
851,ModelName,fire,153
852,Category,tv,153
853,Brand,amazon,154
854,ModelName,fire,154
855,ScreenSize,"7""",154
856,Category,tablet,154
857,Brand,amazon,155
858,ModelName,fire,155
859,Category,tablet,155
860,Brand,amazon,156
861,ModelName,fire,156
862,ModelName,hd,156
863,ModelName,8,156
864,Category,amplifier,156
865,O,am,156
866,Category,fm,156
867,Category,radio,156
868,O,am-fm,156
869,Category,radios,156
870,O,antennas,156
871,Category,hdtv,156
872,Category,antenna,156
873,Category,antenna,156
874,O,android,156
875,Category,tv,156
876,Category,box,156
877,O,android,156
878,Category,tablet,156
879,Category,anti,156
880,Category,virus,156
881,O,software,156
882,O,android,156
883,Category,smartwatch,156
884,O,android,156
885,Category,phone,156
886,Brand,anki,157
887,Brand,overdrive,158
888,Category,anti-virus,158
889,Category,software,158
890,Brand,anker,159
891,Category,power,159
892,Brand,aoc,160
893,ScreenSize,"27""",160
894,Category,monitor,160
895,Brand,aoc,161
896,Category,monitor,161
897,Brand,aoc,162
898,O,21.5,162
899,Brand,aoc,163
900,O,4k,163
901,Category,monitor,163
902,Brand,aoc,164
903,ScreenSize,"24""",164
904,Category,monitor,164
905,Brand,aoc,165
906,ScreenSize,"21.5""",165
907,O,ips,165
908,O,led,165
909,Category,hd,165
910,Category,monitor,165
911,O,black,165
912,Brand,aoc,166
913,O,portable,166
914,Category,monitor,166
915,Brand,aoc,167
916,O,gaming,167
917,Category,monitor,167
918,Brand,aoc,168
919,ScreenSize,"23""",168
920,Category,monitor,168
921,Brand,aoc,169
922,ModelName,agon,169
923,Brand,apple,170
924,Category,watch,170
925,Brand,apple,171
926,Category,watch,171
927,ModelName,series,171
928,ModelName,3,171
929,Brand,apple,172
930,Category,watch,172
931,ModelName,series,172
932,ModelName,2,172
933,ModelName,ipad,172
934,Brand,apple,173
935,Category,laptop,173
936,Brand,apple,174
937,ModelName,homepod,174
938,Brand,apple,175
939,Category,watch,175
940,ModelName,series,175
941,ModelName,3,175
942,ScreenSize,42mm,175
943,Brand,apple,176
944,Category,tv,176
945,Brand,apple,177
946,Category,watch,177
947,ModelName,series,177
948,ModelName,1,177
949,Brand,apple,178
950,Category,watch,178
951,ModelName,series,178
952,ModelName,3,178
953,O,38mm,178
954,ModelName,aquabot,178
955,Category,aquarium,178
956,ModelName,aquarius,178
957,ModelName,season,178
958,ModelName,2,178
959,Brand,aquasana,179
960,Category,water,179
961,Category,filter,179
962,ModelName,aqua,179
963,ModelName,teen,179
964,ModelName,hunger,179
965,ModelName,force,179
966,O,aqua,179
967,Brand,bose,180
968,O,wireless,180
969,Category,headphones,180
970,ModelName,aquarius,180
971,Brand,arlo,181
972,ModelName,pro,181
973,Brand,arlo,182
974,ModelName,pro,182
975,ModelName,2,182
976,Brand,arlo,183
977,Category,security,183
978,Category,camera,183
979,Brand,arlo,184
980,Brand,arris,185
981,Category,cable,185
982,Category,modem,185
983,Brand,arris,186
984,O,cable,186
985,Category,modem,186
986,Category,router,186
987,Brand,arlo,187
988,O,q,187
989,Brand,arris,188
990,Category,surfboard,188
991,ModelName,sb6190,188
992,Brand,ark,189
993,O,survival,189
994,ModelName,evolved,189
995,ModelName,ps4,189
996,ModelName,arlo,189
997,ModelName,pro,189
998,O,security,189
999,Category,camera,189
1000,Brand,asus,190
1001,Category,laptop,190
1002,ModelName,assassins,190
1003,ModelName,creed,190
1004,ModelName,origins,190
1005,Brand,asus,191
1006,Category,2,191
1007,Category,in,191
1008,Category,1,191
1009,Category,laptop,191
1010,Brand,astro,192
1011,ModelName,a40,192
1012,Category,headset,192
1013,Brand,asus,193
1014,Category,monitor,193
1015,Brand,astro,194
1016,ModelName,a50,194
1017,O,wireless,194
1018,ModelName,assassin's,194
1019,ModelName,creed,194
1020,Brand,asus,195
1021,ModelName,zenbook,195
1022,ModelName,assassin's,195
1023,ModelName,creed,195
1024,ModelName,origins,195
1025,O,xbox,195
1026,O,one,195
1027,Brand,at&t,196
1028,Category,prepaid,196
1029,Category,phones,196
1030,Brand,at&t,197
1031,O,at&t,197
1032,Brand,zte,198
1033,ModelName,maven,198
1034,Brand,at&t,199
1035,ModelName,gophone,199
1036,ModelName,atomic,199
1037,O,blonde,199
1038,Brand,at&t,200
1039,Category,cell,200
1040,Category,phones,200
1041,ModelName,atomic,200
1042,ModelName,blonde,200
1043,ModelName,steelbook,200
1044,O,at&t,200
1045,O,prepaid,200
1046,ModelName,iphone,200
1047,Brand,at&t,201
1048,O,gophone,201
1049,ModelName,iphone,201
1050,Brand,audio-technica,202
1051,O,automatic,202
1052,Category,car,202
1053,Category,starter,202
1054,O,august,202
1055,Category,smart,202
1056,Category,lock,202
1057,Category,aux,202
1058,Category,cord,202
1059,O,audio,202
1060,Category,cable,202
1061,Category,audio,202
1062,Category,receiver,202
1063,Category,aux,202
1064,Category,cable,202
1065,O,for,202
1066,O,car,202
1067,Brand,audioquest,203
1068,Category,hdmi,203
1069,Category,cables,203
1070,O,aux,203
1071,Category,bluetooth,203
1072,Category,adapter,203
1073,Category,av,203
1074,Category,to,203
1075,Category,hdmi,203
1076,Category,av,203
1077,Category,cable,203
1078,O,av,203
1079,Category,adapter,203
1080,Category,av,203
1081,Category,receiver,203
1082,O,bluetooth,203
1083,O,av,203
1084,O,10,203
1085,O,pin,203
1086,O,to,203
1087,Category,rca,203
1088,Category,cable,203
1089,O,avatar,203
1090,Category,blu-ray,203
1091,Category,av,203
1092,Category,receivers,203
1093,O,with,203
1094,O,wifi,203
1095,Category,av,203
1096,Category,stand,203
1097,Brand,awolnation,204
1098,Brand,aw-650,205
1099,O,white,205
1100,ModelName,awakening,205
1101,ModelName,the,205
1102,ModelName,zodiac,205
1103,O,awg,205
1104,Category,power,205
1105,Category,cord,205
1106,ModelName,aw17r4-7000slv,205
1107,Category,awg,205
1108,Category,cable,205
1109,Brand,lowepro,206
1110,ModelName,protactic,206
1111,ModelName,450,206
1112,ModelName,aw,206
1113,ModelName,aw17r4,206
1114,ModelName,spirited,206
1115,ModelName,away,206
1116,ModelName,axon,206
1117,ModelName,7,206
1118,ModelName,axon,206
1119,ModelName,7,206
1120,ModelName,mini,206
1121,ModelName,axiom,206
1122,ModelName,verge,206
1123,O,switch,206
1124,Brand,axess,207
1125,Category,speaker,207
1126,ModelName,axon,207
1127,ModelName,7,207
1128,O,unlocked,207
1129,ModelName,axiom,207
1130,ModelName,verge,207
1131,O,multiverse,207
1132,O,edition,207
1133,Brand,axxess,208
1134,ModelName,aswc-1,208
1135,ModelName,axon,208
1136,Brand,zte,209
1137,ModelName,7,209
1138,Category,cell,209
1139,Category,phone,209
1140,ModelName,azure,209
1141,ModelName,striker,209
1142,ModelName,gunvolt,209
1143,ModelName,striker,209
1144,ModelName,pack,209
1145,Brand,azus,210
1146,Brand,azulle,211
1147,Category,mini,211
1148,Category,pc,211
1149,ModelName,azure,211
1150,Category,washer,211
1151,ModelName,azure,211
1152,O,blue,211
1153,Category,washer,211
1154,Category,backpack,211
1155,Category,battery,211
1156,Category,baby,211
1157,Category,monitor,211
1158,O,back,211
1159,O,up,211
1160,Category,camera,211
1161,ModelName,battlefront,211
1162,ModelName,2,211
1163,O,ps4,211
1164,Category,battery,211
1165,Category,pack,211
1166,Category,battery,211
1167,Category,backup,211
1168,O,backup,211
1169,Category,camera,211
1170,ModelName,battlefield,211
1171,ModelName,1,211
1172,ModelName,bb-8,211
1173,ModelName,droid,211
1174,ModelName,bb-9e,211
1175,Category,bbq,211
1176,Category,grills,211
1177,ModelName,bb,211
1178,ModelName,king,211
1179,Brand,sphero,212
1180,ModelName,bb-8,212
1181,Category,bbq,212
1182,Category,grill,212
1183,O,set,212
1184,ModelName,bc,212
1185,ModelName,30,212
1186,O,wireless,212
1187,O,back-up,212
1188,Category,camera,212
1189,ModelName,bc,212
1190,ModelName,30,212
1191,O,bc-trx,212
1192,Category,battery,212
1193,Category,charger,212
1194,Brand,garmin,213
1195,ModelName,bc,213
1196,ModelName,30,213
1197,ModelName,bcciv,213
1198,Brand,garmin,214
1199,ModelName,bc-30,214
1200,Brand,sony,215
1201,ModelName,gtkxb7bc,215
1202,ModelName,one,215
1203,ModelName,million,215
1204,ModelName,bc,215
1205,O,bdi,215
1206,Category,tv,215
1207,Category,stands,215
1208,O,bd-r,215
1209,Storage,50gb,215
1210,Brand,bd-re,216
1211,ModelName,bd-j5700,216
1212,O,bdi,216
1213,Category,furniture,216
1214,ModelName,bd-j6300,216
1215,Category,blu-ray,216
1216,Category,player,216
1217,ModelName,bd-j5700,216
1218,O,za,216
1219,Brand,beats,217
1220,ModelName,solo3,217
1221,O,wireless,217
1222,Brand,beats,218
1223,O,wireless,218
1224,Brand,beats,219
1225,O,studio,219
1226,O,wireless,219
1227,Brand,beats,220
1228,Category,headphones,220
1229,Brand,beats,221
